08,Jackson County,1379
08,Jefferson County,582910
08,Kiowa County,1446
08,Kit Carson County,7087
08,Lake County,7436
08,La Plata County,55638
08,Larimer County,359066
08,Las Animas County,14555
08,Lincoln County,5675
08,Logan County,21528
08,Mesa County,155703
08,Mineral County,865
08,Moffat County,13292
08,Montezuma County,25849
08,Montrose County,42679
08,Morgan County,29111
08,Otero County,18690
08,Ouray County,4874
08,Park County,17390
08,Phillips County,4530
08,Pitkin County,17358
08,Prowers County,11999
08,Pueblo County,168162
08,Rio Blanco County,6529
08,Rio Grande County,11539
08,Routt County,24829
08,Saguache County,6368
08,San Juan County,705
08,San Miguel County,8072
08,Sedgwick County,2404
08,Summit County,31055
08,Teller County,24710
08,Washington County,4817
08,Weld County,328981
08,Yuma County,9988
09,Fairfield County,957419
09,Hartford County,899498
09,Litchfield County,185186
09,Middlesex County,164245
09,New Haven County,864835
09,New London County,268555
09,Tolland County,149788
09,Windham County,116418
10,Kent County,181851
10,New Castle County,570719
10,Sussex County,237378
11,District of Columbia,689545
12,Alachua County,278468
12,Baker County,28259
12,Bay County,175216
12,Bradford County,28303
12,Brevard County,606612
12,Broward County,1944375
12,Calhoun County,13648
12,Charlotte County,186847
12,Citrus County,153843
12,Clay County,218245
12,Collier County,375752
12,Columbia County,69698
12,DeSoto County,33976
12,Dixie County,16759
12,Duval County,995567
12,Escambia County,321905
12,Flagler County,115378
12,Franklin County,12451
12,Gadsden County,43826
12,Gilchrist County,17864
12,Glades County,12126
12,Gulf County,14192
12,Hamilton County,14004
12,Hardee County,25327
12,Hendry County,39619
12,Hernando County,194515
12,Highlands County,101235
12,Hillsborough County,1459762
12,Holmes County,19653
12,Indian River County,159788
12,Jackson County,47319
12,Jefferson County,14510
12,Lafayette County,8226
12,Lake County,383956
12,Lee County,760822
12,Leon County,292198
12,Levy County,42915
12,Liberty County,7974
12,Madison County,17968
12,Manatee County,399710
12,Marion County,375908
12,Martin County,158431
12,Miami-Dade County,2701767
12,Monroe County,82874
12,Nassau County,90352
12,Okaloosa County,211668
12,Okeechobee County,39644
12,Orange County,1429908
12,Osceola County,388656
12,Palm Beach County,1492191
12,Pasco County,561891
12,Pinellas County,959107
12,Polk County,725046
12,Putnam County,73321
12,St. Johns County,273425
12,St. Lucie County,329226
12,Santa Rosa County,188000
12,Sarasota County,434006
12,Seminole County,470856
12,Sumter County,129752
12,Suwannee County,43474
12,Taylor County,21796
12,Union County,16147
12,Volusia County,553543
12,Wakulla County,33764
12,Walton County,75305
12,Washington County,25318
13,Appling County,18444
13,Atkinson County,8286
13,Bacon County,11140
13,Baker County,2876
13,Baldwin County,43799
13,Banks County,18035
13,Barrow County,83505
13,Bartow County,108901
13,Ben Hill County,17194
13,Berrien County,18160
13,Bibb County,157346
13,Bleckley County,12583
13,Brantley County,18021
13,Brooks County,16301
13,Bryan County,44738
13,Bulloch County,81099
13,Burke County,24596
13,Butts County,25434
13,Calhoun County,5573
13,Camden County,54768
13,Candler County,10981
13,Carroll County,119148
13,Catoosa County,67872
13,Charlton County,12518
13,Chatham County,295291
13,Chattahoochee County,9565
13,Chattooga County,24965
13,Cherokee County,266620
13,Clarke County,128671
13,Clay County,2848
13,Clayton County,297595
13,Clinch County,6749
13,Cobb County,766149
13,Coffee County,43092
13,Colquitt County,45898
13,Columbia County,156010
13,Cook County,17229
13,Coweta County,146158
13,Crawford County,12130
13,Crisp County,20128
13,Dade County,16251
13,Dawson County,26798
13,Decatur County,29367
13,DeKalb County,764382
13,Dodge County,19925
13,Dooly County,11208
13,Dougherty County,85790
13,Douglas County,144237
13,Early County,10854
13,Echols County,3697
13,Effingham County,64769
13,Elbert County,19637
13,Emanuel County,22768
13,Evans County,10774
13,Fannin County,25319
13,Fayette County,119194
13,Floyd County,98584
13,Forsyth County,251283
13,Franklin County,23424
13,Fulton County,1066710
13,Gilmer County,31353
13,Glascock County,2884
13,Glynn County,84499
13,Gordon County,57544
13,Grady County,26236
13,Greene County,18915
13,Gwinnett County,957062
13,Habersham County,46031
13,Hall County,203136
13,Hancock County,8735
13,Haralson County,29919
13,Harris County,34668
13,Hart County,25828
13,Heard County,11412
13,Henry County,240712
13,Houston County,163633
13,Irwin County,9666
13,Jackson County,75907
